Ano	Estado	Mes	Numero	Periodo
"2012	Acre	Julho	71	01/01/2012"
"2013	Acre	Julho	54	01/01/2013"
"2014	Acre	Julho	60	01/01/2014"
"2015	Acre	Julho	109	01/01/2015"
"2016	Acre	Julho	533	01/01/2016"
"2017	Acre	Julho	457	01/01/2017"
"1998	Acre	Agosto	130	01/01/1998"
"1999	Acre	Agosto	63	01/01/1999"
"2000	Acre	Agosto	136	01/01/2000"
"2001	Acre	Agosto	396	01/01/2001"
"2002	Acre	Agosto	728	01/01/2002"
"2003	Acre	Agosto	1976	01/01/2003"
"2004	Acre	Agosto	645	01/01/2004"
"2005	Acre	Agosto	4198	01/01/2005"
"2006	Acre	Agosto	839	01/01/2006"
"2007	Acre	Agosto	960	01/01/2007"
"2008	Acre	Agosto	445	01/01/2008"
"2009	Acre	Agosto	194	01/01/2009"
"2010	Acre	Agosto	1682	01/01/2010"
"2011	Acre	Agosto	425	01/01/2011"
"2012	Acre	Agosto	739	01/01/2012"
"2013	Acre	Agosto	679	01/01/2013"
"2014	Acre	Agosto	1100	01/01/2014"
"2015	Acre	Agosto	1397	01/01/2015"
"2016	Acre	Agosto	2188	01/01/2016"
"2017	Acre	Agosto	1493	01/01/2017"
"1998	Acre	Setembro	509	01/01/1998"
"1999	Acre	Setembro	209	01/01/1999"
"2000	Acre	Setembro	265	01/01/2000"
"2001	Acre	Setembro	290	01/01/2001"
"2002	Acre	Setembro	1949	01/01/2002"
"2003	Acre	Setembro	3942	01/01/2003"
"2004	Acre	Setembro	1978	01/01/2004"
"2005	Acre	Setembro	4253	01/01/2005"
"2006	Acre	Setembro	2370	01/01/2006"
"2007	Acre	Setembro	2080	01/01/2007"
"2008	Acre	Setembro	1666	01/01/2008"
"2009	Acre	Setembro	1265	01/01/2009"
"2010	Acre	Setembro	2531	01/01/2010"
"2011	Acre	Setembro	1204	01/01/2011"
"2012	Acre	Setembro	1996	01/01/2012"
"2013	Acre	Setembro	2136	01/01/2013"
"2014	Acre	Setembro	2175	01/01/2014"
"2015	Acre	Setembro	2928	01/01/2015"
"2016	Acre	Setembro	3586	01/01/2016"
"2017	Acre	Setembro	3429	01/01/2017"
"1998	Acre	Outubro	44	01/01/1998"
