Ano	Estado	Mes	Numero	Periodo
"2003	Distrito Federal	Outubro	12	01/01/2003"
"2004	Distrito Federal	Outubro	18	01/01/2004"
"2005	Distrito Federal	Outubro	18	01/01/2005"
"2006	Distrito Federal	Outubro	1	01/01/2006"
"2007	Distrito Federal	Outubro	13	01/01/2007"
"2008	Distrito Federal	Outubro	6	01/01/2008"
"2009	Distrito Federal	Outubro	3	01/01/2009"
"2010	Distrito Federal	Outubro	6	01/01/2010"
"2011	Distrito Federal	Outubro	0	01/01/2011"
"2012	Distrito Federal	Outubro	15	01/01/2012"
"2013	Distrito Federal	Outubro	3	01/01/2013"
"2014	Distrito Federal	Outubro	34	01/01/2014"
"2015	Distrito Federal	Outubro	21	01/01/2015"
"2016	Distrito Federal	Outubro	9	01/01/2016"
"2017	Distrito Federal	Outubro	66	01/01/2017"
"1998	Distrito Federal	Novembro	0	01/01/1998"
"1999	Distrito Federal	Novembro	1	01/01/1999"
"2000	Distrito Federal	Novembro	0	01/01/2000"
"2001	Distrito Federal	Novembro	0	01/01/2001"
"2002	Distrito Federal	Novembro	1	01/01/2002"
"2003	Distrito Federal	Novembro	0	01/01/2003"
"2004	Distrito Federal	Novembro	0	01/01/2004"
"2005	Distrito Federal	Novembro	2	01/01/2005"
"2006	Distrito Federal	Novembro	0	01/01/2006"
"2007	Distrito Federal	Novembro	0	01/01/2007"
"2008	Distrito Federal	Novembro	4	01/01/2008"
"2009	Distrito Federal	Novembro	0	01/01/2009"
"2010	Distrito Federal	Novembro	0	01/01/2010"
"2011	Distrito Federal	Novembro	1	01/01/2011"
"2012	Distrito Federal	Novembro	0	01/01/2012"
"2013	Distrito Federal	Novembro	0	01/01/2013"
"2014	Distrito Federal	Novembro	0	01/01/2014"
"2015	Distrito Federal	Novembro	3	01/01/2015"
"2016	Distrito Federal	Novembro	1	01/01/2016"
"2017	Distrito Federal	Novembro	0	01/01/2017"
"1998	Distrito Federal	Dezembro	0	01/01/1998"
"1999	Distrito Federal	Dezembro	0	01/01/1999"
"2000	Distrito Federal	Dezembro	0	01/01/2000"
"2001	Distrito Federal	Dezembro	1	01/01/2001"
"2002	Distrito Federal	Dezembro	1	01/01/2002"
"2003	Distrito Federal	Dezembro	0	01/01/2003"
"2004	Distrito Federal	Dezembro	0	01/01/2004"
"2005	Distrito Federal	Dezembro	0	01/01/2005"
"2006	Distrito Federal	Dezembro	0	01/01/2006"
"2007	Distrito Federal	Dezembro	0	01/01/2007"
"2008	Distrito Federal	Dezembro	0	01/01/2008"
"2009	Distrito Federal	Dezembro	0	01/01/2009"
"2010	Distrito Federal	Dezembro	1	01/01/2010"
"2011	Distrito Federal	Dezembro	0	01/01/2011"
"2012	Distrito Federal	Dezembro	0	01/01/2012"
"2013	Distrito Federal	Dezembro	2	01/01/2013"
"2014	Distrito Federal	Dezembro	0	01/01/2014"
"2015	Distrito Federal	Dezembro	0	01/01/2015"
"2016	Distrito Federal	Dezembro	0	01/01/2016"
"1998	Espírito Santo	Janeiro	0	01/01/1998"
"1999	Espírito Santo	Janeiro	33	01/01/1999"
"2000	Espírito Santo	Janeiro	5	01/01/2000"
"2001	Espírito Santo	Janeiro	1	01/01/2001"
"2002	Espírito Santo	Janeiro	2	01/01/2002"
"2003	Espírito Santo	Janeiro	4	01/01/2003"
"2004	Espírito Santo	Janeiro	1	01/01/2004"
"2005	Espírito Santo	Janeiro	4	01/01/2005"
"2006	Espírito Santo	Janeiro	13	01/01/2006"
"2007	Espírito Santo	Janeiro	0	01/01/2007"
"2008	Espírito Santo	Janeiro	12	01/01/2008"
"2009	Espírito Santo	Janeiro	4	01/01/2009"
"2010	Espírito Santo	Janeiro	52	01/01/2010"
"2011	Espírito Santo	Janeiro	3	01/01/2011"
"2012	Espírito Santo	Janeiro	1	01/01/2012"
"2013	Espírito Santo	Janeiro	10	01/01/2013"
"2014	Espírito Santo	Janeiro	11	01/01/2014"
"2015	Espírito Santo	Janeiro	76	01/01/2015"
"2016	Espírito Santo	Janeiro	43	01/01/2016"
"2017	Espírito Santo	Janeiro	13	01/01/2017"
"1998	Espírito Santo	Fevereiro	0	01/01/1998"
"1999	Espírito Santo	Fevereiro	10	01/01/1999"
"2000	Espírito Santo	Fevereiro	5	01/01/2000"
"2001	Espírito Santo	Fevereiro	5	01/01/2001"
"2002	Espírito Santo	Fevereiro	4	01/01/2002"
"2003	Espírito Santo	Fevereiro	11	01/01/2003"
"2004	Espírito Santo	Fevereiro	5	01/01/2004"
"2005	Espírito Santo	Fevereiro	1	01/01/2005"
"2006	Espírito Santo	Fevereiro	45	01/01/2006"
"2007	Espírito Santo	Fevereiro	3	01/01/2007"
"2008	Espírito Santo	Fevereiro	20	01/01/2008"
"2009	Espírito Santo	Fevereiro	12	01/01/2009"
"2010	Espírito Santo	Fevereiro	15	01/01/2010"
"2011	Espírito Santo	Fevereiro	42	01/01/2011"
"2012	Espírito Santo	Fevereiro	25	01/01/2012"
"2013	Espírito Santo	Fevereiro	15	01/01/2013"
"2014	Espírito Santo	Fevereiro	17	01/01/2014"
"2015	Espírito Santo	Fevereiro	60	01/01/2015"
"2016	Espírito Santo	Fevereiro	24	01/01/2016"
"2017	Espírito Santo	Fevereiro	8	01/01/2017"
"1998	Espírito Santo	Março	0	01/01/1998"
"1999	Espírito Santo	Março	8	01/01/1999"
"2000	Espírito Santo	Março	1	01/01/2000"
"2001	Espírito Santo	Março	2	01/01/2001"
"2002	Espírito Santo	Março	4	01/01/2002"
"2003	Espírito Santo	Março	28	01/01/2003"
"2004	Espírito Santo	Março	3	01/01/2004"
"2005	Espírito Santo	Março	3	01/01/2005"
"2006	Espírito Santo	Março	14	01/01/2006"
"2007	Espírito Santo	Março	9	01/01/2007"
"2008	Espírito Santo	Março	5	01/01/2008"
"2009	Espírito Santo	Março	11	01/01/2009"
"2010	Espírito Santo	Março	3	01/01/2010"
"2011	Espírito Santo	Março	5	01/01/2011"
"2012	Espírito Santo	Março	35	01/01/2012"
"2013	Espírito Santo	Março	13	01/01/2013"
"2014	Espírito Santo	Março	15	01/01/2014"
"2015	Espírito Santo	Março	25	01/01/2015"
"2016	Espírito Santo	Março	107	01/01/2016"
"2017	Espírito Santo	Março	9	01/01/2017"
"1998	Espírito Santo	Abril	0	01/01/1998"
"1999	Espírito Santo	Abril	2	01/01/1999"
"2000	Espírito Santo	Abril	3	01/01/2000"
"2001	Espírito Santo	Abril	2	01/01/2001"
"2002	Espírito Santo	Abril	2	01/01/2002"
"2003	Espírito Santo	Abril	22	01/01/2003"
"2004	Espírito Santo	Abril	0	01/01/2004"
"2005	Espírito Santo	Abril	4	01/01/2005"
"2006	Espírito Santo	Abril	1	01/01/2006"
"2007	Espírito Santo	Abril	2	01/01/2007"
"2008	Espírito Santo	Abril	8	01/01/2008"
"2009	Espírito Santo	Abril	8	01/01/2009"
"2010	Espírito Santo	Abril	7	01/01/2010"
"2011	Espírito Santo	Abril	3	01/01/2011"
"2012	Espírito Santo	Abril	74	01/01/2012"
"2013	Espírito Santo	Abril	16	01/01/2013"
"2014	Espírito Santo	Abril	15	01/01/2014"
"2015	Espírito Santo	Abril	33	01/01/2015"
"2016	Espírito Santo	Abril	57	01/01/2016"
"2017	Espírito Santo	Abril	7	01/01/2017"
"1998	Espírito Santo	Maio	0	01/01/1998"
"1999	Espírito Santo	Maio	16	01/01/1999"
"2000	Espírito Santo	Maio	2	01/01/2000"
"2001	Espírito Santo	Maio	8	01/01/2001"
"2002	Espírito Santo	Maio	5	01/01/2002"
"2003	Espírito Santo	Maio	1	01/01/2003"
"2004	Espírito Santo	Maio	0	01/01/2004"
"2005	Espírito Santo	Maio	5	01/01/2005"
"2006	Espírito Santo	Maio	0	01/01/2006"
"2007	Espírito Santo	Maio	1	01/01/2007"
"2008	Espírito Santo	Maio	2	01/01/2008"
"2009	Espírito Santo	Maio	7	01/01/2009"
"2010	Espírito Santo	Maio	3	01/01/2010"
"2011	Espírito Santo	Maio	2	01/01/2011"
"2012	Espírito Santo	Maio	20	01/01/2012"
"2013	Espírito Santo	Maio	14	01/01/2013"
"2014	Espírito Santo	Maio	18	01/01/2014"
"2015	Espírito Santo	Maio	17	01/01/2015"
"2016	Espírito Santo	Maio	48	01/01/2016"
"2017	Espírito Santo	Maio	10	01/01/2017"
"1998	Espírito Santo	Junho	6	01/01/1998"
"1999	Espírito Santo	Junho	6	01/01/1999"
"2000	Espírito Santo	Junho	9	01/01/2000"
"2001	Espírito Santo	Junho	9	01/01/2001"
"2002	Espírito Santo	Junho	18	01/01/2002"
"2003	Espírito Santo	Junho	19	01/01/2003"
"2004	Espírito Santo	Junho	3	01/01/2004"
"2005	Espírito Santo	Junho	8	01/01/2005"
"2006	Espírito Santo	Junho	5	01/01/2006"
"2007	Espírito Santo	Junho	4	01/01/2007"
"2008	Espírito Santo	Junho	4	01/01/2008"
"2009	Espírito Santo	Junho	12	01/01/2009"
"2010	Espírito Santo	Junho	3	01/01/2010"
"2011	Espírito Santo	Junho	7	01/01/2011"
"2012	Espírito Santo	Junho	15	01/01/2012"
"2013	Espírito Santo	Junho	22	01/01/2013"
"2014	Espírito Santo	Junho	9	01/01/2014"
"2015	Espírito Santo	Junho	18	01/01/2015"
"2016	Espírito Santo	Junho	49	01/01/2016"
"2017	Espírito Santo	Junho	37	01/01/2017"
"1998	Espírito Santo	Julho	37	01/01/1998"
"1999	Espírito Santo	Julho	9	01/01/1999"
"2000	Espírito Santo	Julho	16	01/01/2000"
"2001	Espírito Santo	Julho	12	01/01/2001"
"2002	Espírito Santo	Julho	9	01/01/2002"
"2003	Espírito Santo	Julho	27	01/01/2003"
"2004	Espírito Santo	Julho	4	01/01/2004"
"2005	Espírito Santo	Julho	9	01/01/2005"
"2006	Espírito Santo	Julho	11	01/01/2006"
"2007	Espírito Santo	Julho	13	01/01/2007"
"2008	Espírito Santo	Julho	5	01/01/2008"
"2009	Espírito Santo	Julho	25	01/01/2009"
"2010	Espírito Santo	Julho	5	01/01/2010"
"2011	Espírito Santo	Julho	18	01/01/2011"
"2012	Espírito Santo	Julho	35	01/01/2012"
"2013	Espírito Santo	Julho	20	01/01/2013"
"2014	Espírito Santo	Julho	17	01/01/2014"
"2015	Espírito Santo	Julho	30	01/01/2015"
"2016	Espírito Santo	Julho	42	01/01/2016"
"2017	Espírito Santo	Julho	3	01/01/2017"
"1998	Espírito Santo	Agosto	38	01/01/1998"
"1999	Espírito Santo	Agosto	60	01/01/1999"
"2000	Espírito Santo	Agosto	26	01/01/2000"
"2001	Espírito Santo	Agosto	30	01/01/2001"
"2002	Espírito Santo	Agosto	60	01/01/2002"
"2003	Espírito Santo	Agosto	118	01/01/2003"
"2004	Espírito Santo	Agosto	12	01/01/2004"
"2005	Espírito Santo	Agosto	12	01/01/2005"
"2006	Espírito Santo	Agosto	29	01/01/2006"
"2007	Espírito Santo	Agosto	82	01/01/2007"
"2008	Espírito Santo	Agosto	13	01/01/2008"
"2009	Espírito Santo	Agosto	17	01/01/2009"
"2010	Espírito Santo	Agosto	39	01/01/2010"
"2011	Espírito Santo	Agosto	93	01/01/2011"
"2012	Espírito Santo	Agosto	12	01/01/2012"
"2013	Espírito Santo	Agosto	53	01/01/2013"
"2014	Espírito Santo	Agosto	47	01/01/2014"
"2015	Espírito Santo	Agosto	35	01/01/2015"
"2016	Espírito Santo	Agosto	78	01/01/2016"
"2017	Espírito Santo	Agosto	30	01/01/2017"
"1998	Espírito Santo	Setembro	108	01/01/1998"
"1999	Espírito Santo	Setembro	64	01/01/1999"
"2000	Espírito Santo	Setembro	14	01/01/2000"
"2001	Espírito Santo	Setembro	38	01/01/2001"
"2002	Espírito Santo	Setembro	46	01/01/2002"
"2003	Espírito Santo	Setembro	252	01/01/2003"
"2004	Espírito Santo	Setembro	47	01/01/2004"
"2005	Espírito Santo	Setembro	8	01/01/2005"
"2006	Espírito Santo	Setembro	87	01/01/2006"
"2007	Espírito Santo	Setembro	63	01/01/2007"
"2008	Espírito Santo	Setembro	78	01/01/2008"
"2009	Espírito Santo	Setembro	57	01/01/2009"
"2010	Espírito Santo	Setembro	53	01/01/2010"
"2011	Espírito Santo	Setembro	108	01/01/2011"
"2012	Espírito Santo	Setembro	48	01/01/2012"
"2013	Espírito Santo	Setembro	30	01/01/2013"
"2014	Espírito Santo	Setembro	61	01/01/2014"
"2015	Espírito Santo	Setembro	228	01/01/2015"
"2016	Espírito Santo	Setembro	128	01/01/2016"
"2017	Espírito Santo	Setembro	58	01/01/2017"
"1998	Espírito Santo	Outubro	20	01/01/1998"
"1999	Espírito Santo	Outubro	23	01/01/1999"
"2000	Espírito Santo	Outubro	88	01/01/2000"
"2001	Espírito Santo	Outubro	19	01/01/2001"
"2002	Espírito Santo	Outubro	113	01/01/2002"
"2003	Espírito Santo	Outubro	159	01/01/2003"
"2004	Espírito Santo	Outubro	48	01/01/2004"
"2005	Espírito Santo	Outubro	62	01/01/2005"
"2006	Espírito Santo	Outubro	10	01/01/2006"
"2007	Espírito Santo	Outubro	79	01/01/2007"
"2008	Espírito Santo	Outubro	100	01/01/2008"
"2009	Espírito Santo	Outubro	13	01/01/2009"
"2010	Espírito Santo	Outubro	32	01/01/2010"
"2011	Espírito Santo	Outubro	38	01/01/2011"
"2012	Espírito Santo	Outubro	62	01/01/2012"
"2013	Espírito Santo	Outubro	37	01/01/2013"
"2014	Espírito Santo	Outubro	89	01/01/2014"
"2015	Espírito Santo	Outubro	307	01/01/2015"
"2016	Espírito Santo	Outubro	58	01/01/2016"
"2017	Espírito Santo	Outubro	56	01/01/2017"
"1998	Espírito Santo	Novembro	4	01/01/1998"
"1999	Espírito Santo	Novembro	9	01/01/1999"
"2000	Espírito Santo	Novembro	3	01/01/2000"
"2001	Espírito Santo	Novembro	3	01/01/2001"
"2002	Espírito Santo	Novembro	22	01/01/2002"
"2003	Espírito Santo	Novembro	49	01/01/2003"
"2004	Espírito Santo	Novembro	42	01/01/2004"
"2005	Espírito Santo	Novembro	0	01/01/2005"
"2006	Espírito Santo	Novembro	0	01/01/2006"
"2007	Espírito Santo	Novembro	112	01/01/2007"
"2008	Espírito Santo	Novembro	3	01/01/2008"
"2009	Espírito Santo	Novembro	18	01/01/2009"
"2010	Espírito Santo	Novembro	3	01/01/2010"
"2011	Espírito Santo	Novembro	6	01/01/2011"
"2012	Espírito Santo	Novembro	7	01/01/2012"
"2013	Espírito Santo	Novembro	11	01/01/2013"
"2014	Espírito Santo	Novembro	20	01/01/2014"
"2015	Espírito Santo	Novembro	141	01/01/2015"
"2016	Espírito Santo	Novembro	8	01/01/2016"
"2017	Espírito Santo	Novembro	3	01/01/2017"
"1998	Espírito Santo	Dezembro	5	01/01/1998"
"1999	Espírito Santo	Dezembro	0	01/01/1999"
"2000	Espírito Santo	Dezembro	3	01/01/2000"
"2001	Espírito Santo	Dezembro	1	01/01/2001"
"2002	Espírito Santo	Dezembro	12	01/01/2002"
"2003	Espírito Santo	Dezembro	18	01/01/2003"
"2004	Espírito Santo	Dezembro	9	01/01/2004"
"2005	Espírito Santo	Dezembro	5	01/01/2005"
"2006	Espírito Santo	Dezembro	0	01/01/2006"
"2007	Espírito Santo	Dezembro	14	01/01/2007"
"2008	Espírito Santo	Dezembro	1	01/01/2008"
"2009	Espírito Santo	Dezembro	32	01/01/2009"
"2010	Espírito Santo	Dezembro	10	01/01/2010"
"2011	Espírito Santo	Dezembro	1	01/01/2011"
"2012	Espírito Santo	Dezembro	18	01/01/2012"
"2013	Espírito Santo	Dezembro	9	01/01/2013"
"2014	Espírito Santo	Dezembro	28	01/01/2014"
"2015	Espírito Santo	Dezembro	61	01/01/2015"
"2016	Espírito Santo	Dezembro	12	01/01/2016"
"1998	Goiás	Janeiro	0	01/01/1998"
"1999	Goiás	Janeiro	14	01/01/1999"
"2000	Goiás	Janeiro	10	01/01/2000"
"2001	Goiás	Janeiro	29	01/01/2001"
"2002	Goiás	Janeiro	12	01/01/2002"
"2003	Goiás	Janeiro	14	01/01/2003"
"2004	Goiás	Janeiro	10	01/01/2004"
"2005	Goiás	Janeiro	27	01/01/2005"
"2006	Goiás	Janeiro	85	01/01/2006"
"2007	Goiás	Janeiro	28	01/01/2007"
"2008	Goiás	Janeiro	23	01/01/2008"
"2009	Goiás	Janeiro	30	01/01/2009"
"2010	Goiás	Janeiro	59	01/01/2010"
"2011	Goiás	Janeiro	39	01/01/2011"
"2012	Goiás	Janeiro	21	01/01/2012"
"2013	Goiás	Janeiro	33	01/01/2013"
"2014	Goiás	Janeiro	80	01/01/2014"
"2015	Goiás	Janeiro	118	01/01/2015"
"2016	Goiás	Janeiro	52	01/01/2016"
"2017	Goiás	Janeiro	53	01/01/2017"
"1998	Goiás	Fevereiro	0	01/01/1998"
"1999	Goiás	Fevereiro	334	01/01/1999"
"2000	Goiás	Fevereiro	11	01/01/2000"
"2001	Goiás	Fevereiro	9	01/01/2001"
"2002	Goiás	Fevereiro	9	01/01/2002"
"2003	Goiás	Fevereiro	47	01/01/2003"
"2004	Goiás	Fevereiro	11	01/01/2004"
"2005	Goiás	Fevereiro	84	01/01/2005"
"2006	Goiás	Fevereiro	21	01/01/2006"
"2007	Goiás	Fevereiro	13	01/01/2007"
"2008	Goiás	Fevereiro	25	01/01/2008"
"2009	Goiás	Fevereiro	29	01/01/2009"
"2010	Goiás	Fevereiro	86	01/01/2010"
"2011	Goiás	Fevereiro	45	01/01/2011"
"2012	Goiás	Fevereiro	37	01/01/2012"
"2013	Goiás	Fevereiro	86	01/01/2013"
"2014	Goiás	Fevereiro	44	01/01/2014"
"2015	Goiás	Fevereiro	53	01/01/2015"
"2016	Goiás	Fevereiro	117	01/01/2016"
"2017	Goiás	Fevereiro	75	01/01/2017"
"1998	Goiás	Março	0	01/01/1998"
"1999	Goiás	Março	1	01/01/1999"
"2000	Goiás	Março	4	01/01/2000"
"2001	Goiás	Março	10	01/01/2001"
"2002	Goiás	Março	48	01/01/2002"
"2003	Goiás	Março	29	01/01/2003"
"2004	Goiás	Março	36	01/01/2004"
"2005	Goiás	Março	36	01/01/2005"
"2006	Goiás	Março	29	01/01/2006"
"2007	Goiás	Março	49	01/01/2007"
"2008	Goiás	Março	20	01/01/2008"
"2009	Goiás	Março	32	01/01/2009"
"2010	Goiás	Março	65	01/01/2010"
"2011	Goiás	Março	19	01/01/2011"
"2012	Goiás	Março	57	01/01/2012"
"2013	Goiás	Março	79	01/01/2013"
"2014	Goiás	Março	80	01/01/2014"
"2015	Goiás	Março	76	01/01/2015"
"2016	Goiás	Março	136	01/01/2016"
"2017	Goiás	Março	115	01/01/2017"
"1998	Goiás	Abril	0	01/01/1998"
"1999	Goiás	Abril	25	01/01/1999"
"2000	Goiás	Abril	16	01/01/2000"
"2001	Goiás	Abril	49	01/01/2001"
"2002	Goiás	Abril	78	01/01/2002"
"2003	Goiás	Abril	87	01/01/2003"
"2004	Goiás	Abril	32	01/01/2004"
"2005	Goiás	Abril	55	01/01/2005"
"2006	Goiás	Abril	22	01/01/2006"
"2007	Goiás	Abril	17	01/01/2007"
"2008	Goiás	Abril	36	01/01/2008"
"2009	Goiás	Abril	11	01/01/2009"
"2010	Goiás	Abril	105	01/01/2010"
"2011	Goiás	Abril	71	01/01/2011"
"2012	Goiás	Abril	89	01/01/2012"
"2013	Goiás	Abril	42	01/01/2013"
"2014	Goiás	Abril	138	01/01/2014"
"2015	Goiás	Abril	89	01/01/2015"
"2016	Goiás	Abril	167	01/01/2016"
"2017	Goiás	Abril	60	01/01/2017"
"1998	Goiás	Maio	0	01/01/1998"
"1999	Goiás	Maio	99	01/01/1999"
"2000	Goiás	Maio	58	01/01/2000"
"2001	Goiás	Maio	85	01/01/2001"
"2002	Goiás	Maio	171	01/01/2002"
"2003	Goiás	Maio	57	01/01/2003"
"2004	Goiás	Maio	157	01/01/2004"
"2005	Goiás	Maio	164	01/01/2005"
"2006	Goiás	Maio	33	01/01/2006"
"2007	Goiás	Maio	94	01/01/2007"
"2008	Goiás	Maio	41	01/01/2008"
"2009	Goiás	Maio	104	01/01/2009"
"2010	Goiás	Maio	239	01/01/2010"
"2011	Goiás	Maio	136	01/01/2011"
"2012	Goiás	Maio	103	01/01/2012"
"2013	Goiás	Maio	150	01/01/2013"
"2014	Goiás	Maio	210	01/01/2014"
"2015	Goiás	Maio	129	01/01/2015"
"2016	Goiás	Maio	233	01/01/2016"
"2017	Goiás	Maio	135	01/01/2017"
"1998	Goiás	Junho	172	01/01/1998"
"1999	Goiás	Junho	250	01/01/1999"
"2000	Goiás	Junho	222	01/01/2000"
"2001	Goiás	Junho	212	01/01/2001"
"2002	Goiás	Junho	302	01/01/2002"
"2003	Goiás	Junho	321	01/01/2003"
"2004	Goiás	Junho	422	01/01/2004"
"2005	Goiás	Junho	189	01/01/2005"
"2006	Goiás	Junho	70	01/01/2006"
"2007	Goiás	Junho	186	01/01/2007"
"2008	Goiás	Junho	55	01/01/2008"
"2009	Goiás	Junho	179	01/01/2009"
"2010	Goiás	Junho	278	01/01/2010"
"2011	Goiás	Junho	314	01/01/2011"
"2012	Goiás	Junho	245	01/01/2012"
"2013	Goiás	Junho	192	01/01/2013"
"2014	Goiás	Junho	318	01/01/2014"
"2015	Goiás	Junho	277	01/01/2015"
"2016	Goiás	Junho	289	01/01/2016"
"2017	Goiás	Junho	442	01/01/2017"
"1998	Goiás	Julho	512	01/01/1998"
"1999	Goiás	Julho	311	01/01/1999"
"2000	Goiás	Julho	332	01/01/2000"
"2001	Goiás	Julho	371	01/01/2001"
"2002	Goiás	Julho	686	01/01/2002"
"2003	Goiás	Julho	322	01/01/2003"
"2004	Goiás	Julho	778	01/01/2004"
"2005	Goiás	Julho	363	01/01/2005"
"2006	Goiás	Julho	169	01/01/2006"
"2007	Goiás	Julho	399	01/01/2007"
"2008	Goiás	Julho	193	01/01/2008"
"2009	Goiás	Julho	470	01/01/2009"
"2010	Goiás	Julho	941	01/01/2010"
"2011	Goiás	Julho	607	01/01/2011"
"2012	Goiás	Julho	564	01/01/2012"
"2013	Goiás	Julho	350	01/01/2013"
"2014	Goiás	Julho	446	01/01/2014"
"2015	Goiás	Julho	347	01/01/2015"
"2016	Goiás	Julho	837	01/01/2016"
"2017	Goiás	Julho	577	01/01/2017"
"1998	Goiás	Agosto	2218	01/01/1998"
"1999	Goiás	Agosto	1198	01/01/1999"
"2000	Goiás	Agosto	925	01/01/2000"
"2001	Goiás	Agosto	787	01/01/2001"
"2002	Goiás	Agosto	1428	01/01/2002"
"2003	Goiás	Agosto	902	01/01/2003"
"2004	Goiás	Agosto	1498	01/01/2004"
"2005	Goiás	Agosto	639	01/01/2005"
"2006	Goiás	Agosto	588	01/01/2006"
"2007	Goiás	Agosto	2382	01/01/2007"
"2008	Goiás	Agosto	568	01/01/2008"
"2009	Goiás	Agosto	647	01/01/2009"
"2010	Goiás	Agosto	2914	01/01/2010"
"2011	Goiás	Agosto	1613	01/01/2011"
"2012	Goiás	Agosto	912	01/01/2012"
"2013	Goiás	Agosto	488	01/01/2013"
"2014	Goiás	Agosto	1255	01/01/2014"
"2015	Goiás	Agosto	943	01/01/2015"
"2016	Goiás	Agosto	1032	01/01/2016"
"2017	Goiás	Agosto	1492	01/01/2017"
"1998	Goiás	Setembro	2867	01/01/1998"
"1999	Goiás	Setembro	1898	01/01/1999"
"2000	Goiás	Setembro	1293	01/01/2000"
"2001	Goiás	Setembro	1863	01/01/2001"
"2002	Goiás	Setembro	3520	01/01/2002"
"2003	Goiás	Setembro	1662	01/01/2003"
"2004	Goiás	Setembro	2965	01/01/2004"
"2005	Goiás	Setembro	1341	01/01/2005"
"2006	Goiás	Setembro	1463	01/01/2006"
"2007	Goiás	Setembro	3745	01/01/2007"
"2008	Goiás	Setembro	1255	01/01/2008"
"2009	Goiás	Setembro	685	01/01/2009"
"2010	Goiás	Setembro	5075	01/01/2010"
"2011	Goiás	Setembro	2259	01/01/2011"
"2012	Goiás	Setembro	2452	01/01/2012"
"2013	Goiás	Setembro	684	01/01/2013"
"2014	Goiás	Setembro	1687	01/01/2014"
"2015	Goiás	Setembro	2296	01/01/2015"
"2016	Goiás	Setembro	1703	01/01/2016"
"2017	Goiás	Setembro	3238	01/01/2017"
"1998	Goiás	Outubro	1034	01/01/1998"
"1999	Goiás	Outubro	743	01/01/1999"
"2000	Goiás	Outubro	905	01/01/2000"
"2001	Goiás	Outubro	479	01/01/2001"
"2002	Goiás	Outubro	1367	01/01/2002"
"2003	Goiás	Outubro	1183	01/01/2003"
"2004	Goiás	Outubro	1275	01/01/2004"
"2005	Goiás	Outubro	1717	01/01/2005"
"2006	Goiás	Outubro	178	01/01/2006"
"2007	Goiás	Outubro	1195	01/01/2007"
"2008	Goiás	Outubro	1231	01/01/2008"
"2009	Goiás	Outubro	367	01/01/2009"
"2010	Goiás	Outubro	1227	01/01/2010"
"2011	Goiás	Outubro	476	01/01/2011"
"2012	Goiás	Outubro	1524	01/01/2012"
"2013	Goiás	Outubro	606	01/01/2013"
"2014	Goiás	Outubro	1947	01/01/2014"
"2015	Goiás	Outubro	1807	01/01/2015"
"2016	Goiás	Outubro	522	01/01/2016"
"2017	Goiás	Outubro	2401	01/01/2017"
"1998	Goiás	Novembro	47	01/01/1998"
"1999	Goiás	Novembro	110	01/01/1999"
"2000	Goiás	Novembro	26	01/01/2000"
"2001	Goiás	Novembro	15	01/01/2001"
"2002	Goiás	Novembro	192	01/01/2002"
"2003	Goiás	Novembro	168	01/01/2003"
"2004	Goiás	Novembro	291	01/01/2004"
"2005	Goiás	Novembro	144	01/01/2005"
"2006	Goiás	Novembro	91	01/01/2006"
"2007	Goiás	Novembro	79	01/01/2007"
"2008	Goiás	Novembro	90	01/01/2008"
"2009	Goiás	Novembro	89	01/01/2009"
"2010	Goiás	Novembro	67	01/01/2010"
"2011	Goiás	Novembro	59	01/01/2011"
"2012	Goiás	Novembro	57	01/01/2012"
"2013	Goiás	Novembro	183	01/01/2013"
"2014	Goiás	Novembro	181	01/01/2014"
"2015	Goiás	Novembro	547	01/01/2015"
"2016	Goiás	Novembro	123	01/01/2016"
"2017	Goiás	Novembro	117	01/01/2017"
"1998	Goiás	Dezembro	13	01/01/1998"
"1999	Goiás	Dezembro	20	01/01/1999"
"2000	Goiás	Dezembro	6	01/01/2000"
"2001	Goiás	Dezembro	18	01/01/2001"
"2002	Goiás	Dezembro	115	01/01/2002"
"2003	Goiás	Dezembro	129	01/01/2003"
"2004	Goiás	Dezembro	56	01/01/2004"
"2005	Goiás	Dezembro	5	01/01/2005"
"2006	Goiás	Dezembro	7	01/01/2006"
"2007	Goiás	Dezembro	16	01/01/2007"
"2008	Goiás	Dezembro	6	01/01/2008"
"2009	Goiás	Dezembro	39	01/01/2009"
"2010	Goiás	Dezembro	48	01/01/2010"
"2011	Goiás	Dezembro	39	01/01/2011"
"2012	Goiás	Dezembro	93	01/01/2012"
"2013	Goiás	Dezembro	86	01/01/2013"
"2014	Goiás	Dezembro	68	01/01/2014"
"2015	Goiás	Dezembro	179	01/01/2015"
"2016	Goiás	Dezembro	64	01/01/2016"
"1998	Maranhão	Janeiro	0	01/01/1998"
"1999	Maranhão	Janeiro	54	01/01/1999"
"2000	Maranhão	Janeiro	19	01/01/2000"
"2001	Maranhão	Janeiro	29	01/01/2001"
"2002	Maranhão	Janeiro	48	01/01/2002"
"2003	Maranhão	Janeiro	436	01/01/2003"
"2004	Maranhão	Janeiro	241	01/01/2004"
"2005	Maranhão	Janeiro	450	01/01/2005"
"2006	Maranhão	Janeiro	221	01/01/2006"
"2007	Maranhão	Janeiro	428	01/01/2007"
"2008	Maranhão	Janeiro	121	01/01/2008"
"2009	Maranhão	Janeiro	240	01/01/2009"
"2010	Maranhão	Janeiro	319	01/01/2010"
